0.08 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.1317 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.18339 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.23509 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.28679 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.33848 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.39018 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.44188 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.49357 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.54527 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.59697 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.64866 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.70036 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.75206 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.80375 0.00093	3.344e-06	0.0001556	6.116e-05	0.06217	0.1683	2.713e-05	8.412e-05	5.25e-05	0.0004453	1.856e-05	3.449e-05
0.85545 0.0010328943661971832	3.79131971830986e-06	0.00017482500000000003	6.934822535211269e-05	0.0705694295774648	0.1907742957746479	3.0763795774647895e-05	9.53733943661972e-05	6.146805633802818e-05	0.0005049245774647888	2.1045711267605637e-05	3.910941549295775e-05
0.90714 0.0011911615384615382	4.432806923076922e-06	0.00020248584615384612	8.10870846153846e-05	0.0826146846153846	0.2229771538461538	3.59723923076923e-05	0.0001115253846153846	7.414682307692307e-05	0.000590391846153846	2.4607584615384613e-05	4.572904615384614e-05
0.95884 0.0013833794871794874	5.142687692307694e-06	0.00023324071794871798	9.407173846153847e-05	0.09594400512820514	0.25857061538461545	4.173230256410257e-05	0.0001294215384615385	8.788709230769233e-05	0.0006849100512820515	2.8544738461538467e-05	5.304658461538462e-05
1.01054 0.0015714574999999998	5.8072147499999996e-06	0.000259380275	0.0001062422525	0.1084294925	0.29189425	4.71231875e-05	0.0001461528	0.0001040483675	0.000773439625	3.22356375e-05	5.99003075e-05
1.06223 0.0017572823529411763	6.442067294117647e-06	0.0002826237058823529	0.00011786056470588236	0.12041331764705882	0.32366517647058823	5.227316e-05	0.00016212077647058824	0.00012151011764705881	0.0008579977529411764	3.5761535294117644e-05	6.644986470588235e-05
1.11393 0.0019397529411764708	7.028406117647059e-06	0.0003011748823529412	0.00012856550588235296	0.13160484705882355	0.35286047058823533	5.7029560000000004e-05	0.0001768400705882353	0.00014097364705882356	0.0009360343411764706	3.9015594117647066e-05	7.250180588235295e-05
1.16563 0.0038708160919540204	7.702839540229884e-06	0.001927227712643676	0.00014089681609195403	0.14759962068965515	0.38160620689655167	6.250085057471263e-05	0.00019380059770114942	0.0001628043793103448	0.0011581162758620687	4.276088850574712e-05	7.945965287356321e-05
1.21732 0.006663264367816091	8.42055816091954e-06	0.004345190850574712	0.0001540272643678161	0.16595848275862068	0.4101248275862069	6.832340229885057e-05	0.0002118623908045977	0.0001857975172413793	0.0014511451034482756	4.67475540229885e-05	8.686261149425287e-05
1.26902 0.015184224719101136	9.233135056179776e-06	0.012094778202247206	0.00016887541573033712	0.1987037528089888	0.42506076404494386	7.491221573033708e-05	0.0002322786966292135	0.0001939536404494382	0.0021939301123595515	5.12542179775281e-05	9.523785168539327e-05
1.32072 0.022764089887640445	9.998877303370785e-06	0.018963806741573032	0.00018286773033707865	0.2285113258426966	0.4406326292134831	8.112120898876404e-05	0.0002515239101123595	0.00020386975280898875	0.002858538876404494	5.550111011235955e-05	0.0001031265617977528
1.37241 0.027526539325842696	1.063135382022472e-05	0.023197740449438203	0.00019442538202247192	0.24965195505617976	0.4584627752808989	8.624955393258427e-05	0.00026743746067415733	0.00021920251685393258	0.003290063258426966	5.90090606741573e-05	0.00010963137078651685
1.42411 0.03168423529411765	1.1303618823529412e-05	0.026905890588235296	0.00020674403529411764	0.2704447882352941	0.4801258705882353	9.17151705882353e-05	0.0002843896823529412	0.0002373447882352941	0.003684100705882353	6.274966705882353e-05	0.00011656847058823529
1.47581 0.03533364705882353	1.2009171764705882e-05	0.03017211411764706	0.00021969944705882354	0.2909423176470588	0.505002694117647	9.746299411764706e-05	0.0003022109764705882	0.0002578423176470588	0.00404660894117647	6.66849494117647e-05	0.00012386729411764704
1.5275 0.04006987951807229	1.2623433734939758e-05	0.03444969879518072	0.0002309722891566265	0.31300060240963856	0.5207777108433734	0.00010244349397590362	0.00031766987951807233	0.0002875759036144578	0.004480210843373494	7.009969879518073e-05	0.00013025843373493974
1.5792 0.04511156626506023	1.3225807228915662e-05	0.03901689156626505	0.0002420048192771084	0.3352195180722891	0.5351739759036144	0.00010732843373493974	0.0003328134939759036	0.00031739445783132524	0.004933378313253012	7.344060240963855e-05	0.0001364946987951807
1.6309 0.05059301204819277	1.382378313253012e-05	0.04400625301204819	0.000252905421686747	0.3573944578313253	0.5486907228915662	0.00011218698795180722	0.0003478251807228916	0.0003449262650602409	0.0054142506024096385	7.674192771084337e-05	0.0001425990361445783
1.68259 0.055945804878048774	1.440930243902439e-05	0.04877612073170732	0.0002635482073170732	0.3789700243902439	0.5621447195121951	0.00011691178048780487	0.0003624825609756098	0.0003599669634146341	0.005879535731707317	7.997918414634146e-05	0.00014862323170731706
1.73429 0.06126625352112676	1.4990350704225352e-05	0.05347441267605634	0.00027410270422535216	0.4003948169014085	0.575511323943662	0.00012159174647887324	0.00037701994366197184	0.0003705756056338028	0.006339429577464788	8.319528169014085e-05	0.00015461840845070422
1.78599 0.06680033802816901	1.55801676056338e-05	0.05840411690140845	0.0002848796056338028	0.42282242253521124	0.5883270985915493	0.00012639766197183096	0.0003918745915492957	0.0003918381408450704	0.006812739436619718	8.647204225352112e-05	0.00016066221126760562
1.83768 0.07041008	1.6184624e-05	0.061650376	0.00029597655999999997	0.44238944	0.60709808	0.00013131727999999998	0.00040712863999999997	0.0004203964	0.0071467328	8.9835576e-05	0.00016689696
1.88938 0.07330528	1.6794684000000003e-05	0.06427156600000002	0.00030719546	0.46089804000000006	0.62808828	0.00013628048000000002	0.00042253524000000005	0.0004516749000000001	0.0074290148000000005	9.323226600000001e-05	0.00017320436000000002
1.94108 0.07714531999999999	1.7388312e-05	0.067730788	0.00031808572	0.480105	0.64620288	0.00014112044	0.00043748995999999996	0.00047095804	0.0077831867999999995	9.6546796e-05	0.00017934744
1.99277 0.08122882999999999	1.7977578e-05	0.071405947	0.00032888892999999997	0.49948875	0.6635707200000001	0.00014592761000000002	0.00045232499	0.00048713700999999997	0.0081558717	9.9839449e-05	0.00018544686
